StudyID,ParticipantID,TestID,Type,Fluent,Designer,Font,Correct,RT,RT_word,RT_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date
1.0,31.0,2,lexical,,Graphic designer,arial,0.85,2200.65,1519.0,2882.3,0.95,,,very easy to read,90,04-04-2019 10:25
1.0,31.0,2,recognition,,Graphic designer,arial,0.8125,2116.4375,2006.25,2226.625,0.8984375,0.96875,0.84375,very easy to read,90,04-04-2019 10:25
1.0,32.0,1,lexical,,Graphic designer,arial,0.9,2116.8,1423.8,2809.8,1.0,,,very easy to read,71,04-04-2019 10:04
1.0,32.0,1,recognition,,Graphic designer,arial,1.0,2276.375,2692.875,1859.875,1.0,1.0,1.0,very easy to read,71,04-04-2019 10:04
1.0,32.0,2,lexical,,Graphic designer,sansforgetica,1.0,2272.75,1872.3,2673.2,1.0,,,very difficult to read,60,04-04-2019 10:04
1.0,32.0,2,recognition,,Graphic designer,sansforgetica,1.0,1941.5,1783.5,2099.5,1.0,1.0,1.0,very difficult to read,60,04-04-2019 10:04
1.0,33.0,1,lexical,,Letter designer,arial,0.95,1868.25,1498.9,2237.6,0.9500000000000001,,,very easy to read,81,04-04-2019 10:03
1.0,33.0,1,recognition,,Letter designer,arial,1.0,3386.3125,2930.0,3842.625,1.0,1.0,1.0,very easy to read,81,04-04-2019 10:03
1.0,33.0,2,lexical,,Letter designer,sansforgetica,0.95,2051.65,1834.3,2269.0,0.9500000000000001,,,ok,89,04-04-2019 10:03
1.0,33.0,2,recognition,,Letter designer,sansforgetica,0.9375,2880.5,2776.625,2984.375,0.9921875,1.0,1.0,ok,89,04-04-2019 10:03
1.0,34.0,1,lexical,,Letter designer,sansforgetica,0.75,2147.55,1265.6,3029.5,0.95,,,ok,70,04-04-2019 10:03
1.0,34.0,1,recognition,,Letter designer,sansforgetica,0.9375,1772.375,1749.0,1795.75,1.0,1.0,1.0,ok,70,04-04-2019 10:03
1.0,34.0,2,lexical,,Letter designer,arial,0.9,2055.55,2010.4,2100.7,1.0,,,very easy to read,70,04-04-2019 10:03
1.0,34.0,2,recognition,,Letter designer,arial,0.6875,1855.8125,1716.875,1994.75,0.6640625,0.59375,0.75,very easy to read,70,04-04-2019 10:03
1.0,35.0,1,lexical,,Letter designer,sansforgetica,1.0,2422.75,2056.1,2789.4,1.0,,,difficult to read,22,04-04-2019 10:03
1.0,35.0,1,recognition,,Letter designer,sansforgetica,0.875,2739.1875,2992.125,2486.25,0.875,0.6875,1.0,difficult to read,22,04-04-2019 10:03
1.0,35.0,2,lexical,,Letter designer,arial,1.0,2085.2,1461.0,2709.4,1.0,,,very easy to read,37,04-04-2019 10:03
1.0,35.0,2,recognition,,Letter designer,arial,1.0,2147.3125,2192.5,2102.125,1.0,1.0,1.0,very easy to read,37,04-04-2019 10:03
1.0,36.0,1,lexical,,Graphic designer,arial,0.85,3227.7,1796.8,4658.6,1.0,,,very easy to read,22,04-04-2019 09:28
1.0,36.0,1,recognition,,Graphic designer,arial,0.875,3097.8125,2920.875,3274.75,0.921875,0.8125,1.0,very easy to read,22,04-04-2019 09:28
1.0,36.0,2,lexical,,Graphic designer,sansforgetica,0.7,3506.2,2882.9,4129.5,0.9500000000000001,,,easy to read,17,04-04-2019 09:28
1.0,36.0,2,recognition,,Graphic designer,sansforgetica,0.9375,2486.8125,2969.875,2003.75,1.0,1.0,1.0,easy to read,17,04-04-2019 09:28
1.0,37.0,1,lexical,,Letter designer,sansforgetica,0.95,2953.7,2173.0,3734.4,1.0,,,difficult to read,50,04-04-2019 09:02
1.0,37.0,1,recognition,,Letter designer,sansforgetica,0.9375,2942.625,2448.0,3437.25,0.984375,1.0,0.96875,difficult to read,50,04-04-2019 09:02
1.0,37.0,2,lexical,,Letter designer,arial,0.9,3261.6,2732.8,3790.4,0.95,,,very easy to read,50,04-04-2019 09:02
1.0,37.0,2,recognition,,Letter designer,arial,0.875,2080.125,1554.25,2606.0,0.875,1.0,0.6875,very easy to read,50,04-04-2019 09:02
1.0,38.0,1,lexical,,Letter designer,arial,0.9,4039.9,2376.0,5703.8,1.0,,,easy to read,85,04-04-2019 08:32
1.0,38.0,1,recognition,,Letter designer,arial,1.0,2186.6875,1889.625,2483.75,1.0,1.0,1.0,easy to read,85,04-04-2019 08:32
1.0,38.0,2,lexical,,Letter designer,sansforgetica,0.95,4101.75,2416.2,5787.3,1.0,,,difficult to read,75,04-04-2019 08:32
1.0,38.0,2,recognition,,Letter designer,sansforgetica,0.9375,3256.625,4113.125,2400.125,0.9375,1.0,0.875,difficult to read,75,04-04-2019 08:32
