,Study ID,Participant ID,Native,Designer,Test ID,Test type,Trial ID,Font,Sample,Category,Response,Correct,Seen,Foil,Response time,JoM,JoL,Date
137,Pilot,1,yes,Non-designer,2,recognition,10,inputsans,process,word,Probably seen,0.33333333333333337,non-seen,problems,3536,42,very easy to read,19-03-2019 16:35
138,Pilot,1,yes,Non-designer,2,recognition,11,inputsans,stood,word,Sure seen,1,seen,stood,1565,42,very easy to read,19-03-2019 16:35
139,Pilot,1,yes,Non-designer,2,recognition,12,inputsans,possecapped,non-word,Sure seen,1,seen,possecapped,2050,42,very easy to read,19-03-2019 16:35
140,Pilot,1,yes,Non-designer,2,recognition,13,inputsans,controyed,non-word,Sure not seen,1,non-seen,contrimenty,1901,42,very easy to read,19-03-2019 16:35
141,Pilot,1,yes,Non-designer,2,recognition,14,inputsans,peoply,non-word,Sure seen,1,seen,peoply,3067,42,very easy to read,19-03-2019 16:35
142,Pilot,1,yes,Non-designer,2,recognition,15,inputsans,stich,non-word,Probably not seen,0.6666666666666667,non-seen,steet,2061,42,very easy to read,19-03-2019 16:35
143,Pilot,1,yes,Non-designer,2,recognition,16,inputsans,foreign,word,Probably not seen,0.6666666666666667,non-seen,forced,2122,42,very easy to read,19-03-2019 16:35
144,Pilot,2,yes,Other designer,1,lexical,1,sansforgetica,unconscents,non-word,Probably non-word,0.6666666666666667,,,5466,63,ok,19-03-2019 16:25
145,Pilot,2,yes,Other designer,1,lexical,2,sansforgetica,living,word,Sure word,1,,,1568,63,ok,19-03-2019 16:25
146,Pilot,2,yes,Other designer,1,lexical,3,sansforgetica,opplanation,non-word,Probably non-word,0.6666666666666667,,,4287,63,ok,19-03-2019 16:25
147,Pilot,2,yes,Other designer,1,lexical,4,sansforgetica,worked,word,Sure word,1,,,1892,63,ok,19-03-2019 16:25
148,Pilot,2,yes,Other designer,1,lexical,5,sansforgetica,without,word,Sure word,1,,,1250,63,ok,19-03-2019 16:25
149,Pilot,2,yes,Other designer,1,lexical,6,sansforgetica,althdren,non-word,Sure non-word,1,,,2927,63,ok,19-03-2019 16:25
150,Pilot,2,yes,Other designer,1,lexical,7,sansforgetica,scievority,non-word,Probably non-word,0.6666666666666667,,,3794,63,ok,19-03-2019 16:25
151,Pilot,2,yes,Other designer,1,lexical,8,sansforgetica,answered,word,Sure word,1,,,1754,63,ok,19-03-2019 16:25
152,Pilot,2,yes,Other designer,1,lexical,9,sansforgetica,speech,word,Sure word,1,,,1146,63,ok,19-03-2019 16:25
153,Pilot,2,yes,Other designer,1,lexical,10,sansforgetica,drojects,non-word,Probably non-word,0.6666666666666667,,,2920,63,ok,19-03-2019 16:25
154,Pilot,2,yes,Other designer,1,lexical,11,sansforgetica,television,word,Sure word,1,,,1427,63,ok,19-03-2019 16:25
155,Pilot,2,yes,Other designer,1,lexical,12,sansforgetica,given,word,Sure word,1,,,1115,63,ok,19-03-2019 16:25
156,Pilot,2,yes,Other designer,1,lexical,13,sansforgetica,regioney,non-word,Sure non-word,1,,,2781,63,ok,19-03-2019 16:25
157,Pilot,2,yes,Other designer,1,lexical,14,sansforgetica,money,word,Sure word,1,,,2299,63,ok,19-03-2019 16:25
158,Pilot,2,yes,Other designer,1,lexical,15,sansforgetica,break,word,Sure word,1,,,1077,63,ok,19-03-2019 16:25
159,Pilot,2,yes,Other designer,1,lexical,16,sansforgetica,creviver,non-word,Probably non-word,0.6666666666666667,,,1559,63,ok,19-03-2019 16:25
160,Pilot,2,yes,Other designer,1,lexical,17,sansforgetica,handence,non-word,Probably non-word,0.6666666666666667,,,1840,63,ok,19-03-2019 16:25
