,StudyID,ParticipantID,TestID,Type,Order,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date
69,1,139,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,1.0,3832.8125,8.13162374280497,2826.25,4839.375,7.924165485731565,8.339081999878378,1.0,1.0,1.0,75.0,64,12-04-2019 00:11
70,1,139,2,lexical,1,sansforgetica,True,Non-designer,False,arial,1.0,4012.8,8.144124582239549,2355.2,5670.4,7.716482609207622,8.57176655527147,1.0,,,100.0,60,12-04-2019 00:11
71,1,139,2,recognition,2,sansforgetica,True,Non-designer,False,arial,1.0,4269.9375,8.12091434884719,5860.125,2679.75,8.358949027804941,7.882879669889436,1.0,1.0,1.0,100.0,60,12-04-2019 00:11
72,1,140,1,lexical,1,arial,True,Non-designer,False,arial,0.75,3944.45,8.141999174964797,2382.4,5506.5,7.738189828060723,8.545808521868867,0.9,,,100.0,31,12-04-2019 00:06
73,1,140,1,recognition,2,arial,True,Non-designer,False,arial,0.8125,4047.0625,8.206382658470421,3773.875,4320.25,8.120697709665608,8.29206760727523,0.875,0.75,1.0,100.0,31,12-04-2019 00:06
74,1,140,2,lexical,1,arial,True,Non-designer,False,sansforgetica,0.85,3706.55,8.115886537681806,2526.0,4887.1,7.760204780217745,8.471568295145868,1.0,,,75.0,39,12-04-2019 00:06
75,1,140,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.8125,3036.1875,7.930091680588383,3001.0,3071.375,7.865674134334229,7.994509226842537,0.8671875,0.84375,0.875,75.0,39,12-04-2019 00:06
76,1,141,1,lexical,1,sansforgetica,True,Letter designer,True,sansforgetica,0.95,3021.9,7.912661819516697,1985.8,4058.0,7.575815775315611,8.249507863717783,1.0,,,75.0,78,11-04-2019 23:49
77,1,141,1,recognition,2,sansforgetica,True,Letter designer,True,sansforgetica,0.9375,2618.375,7.736005783248652,3130.625,2106.125,7.843176437879474,7.628835128617832,1.0,1.0,1.0,75.0,78,11-04-2019 23:49
78,1,141,2,lexical,1,sansforgetica,True,Letter designer,True,arial,0.6,2642.55,7.720824221219449,1805.1,3480.0,7.432248543767206,8.009399898671692,1.0,,,50.0,70,11-04-2019 23:49
79,1,141,2,recognition,2,sansforgetica,True,Letter designer,True,arial,0.6875,2703.9375,7.758316460482632,2405.375,3002.5,7.649860111310818,7.866772809654444,0.8046875,0.65625,1.0,50.0,70,11-04-2019 23:49
80,1,142,1,lexical,1,arial,True,Non-designer,False,arial,1.0,2032.7,7.602617278087839,1749.4,2316.0,7.463168044058918,7.742066512116762,1.0,,,100.0,80,11-04-2019 22:04
81,1,142,1,recognition,2,arial,True,Non-designer,False,arial,0.9375,2358.0625,7.707801436218549,2470.0,2246.125,7.729994520533969,7.685608351903129,0.9375,1.0,0.875,100.0,80,11-04-2019 22:04
82,1,142,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,2393.25,7.728291853594672,1822.2,2964.3,7.501808218999076,7.954775488190269,1.0,,,25.0,73,11-04-2019 22:04
83,1,142,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.9375,2707.1875,7.83575746911483,2685.0,2729.375,7.778634300284723,7.892880637944934,1.0,1.0,1.0,25.0,73,11-04-2019 22:04
84,1,143,1,lexical,1,arial,True,Non-designer,False,arial,0.9,2508.55,7.685006426338252,2116.0,2901.1,7.521944315110515,7.848068537565988,1.0,,,100.0,50,11-04-2019 21:36
85,1,143,1,recognition,2,arial,True,Non-designer,False,arial,0.4375,4350.0,8.32660779043999,3733.125,4966.875,8.191417918829272,8.461797662050708,0.4609375,0.5,0.46875,100.0,50,11-04-2019 21:36
86,1,143,2,lexical,1,arial,True,Non-designer,False,sansforgetica,0.9,3895.1,8.217357752895367,3481.5,4308.7,8.130297537173613,8.304417968617116,0.95,,,75.0,50,11-04-2019 21:36
87,1,143,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.875,3758.75,8.199555253928692,3409.0,4108.5,8.119740250046496,8.279370257810887,1.0,1.0,1.0,75.0,50,11-04-2019 21:36
88,1,144,1,lexical,1,sansforgetica,True,Letter designer,True,sansforgetica,0.95,2489.0,7.746275922001908,1747.9,3230.1,7.435890930720457,8.056660913283356,1.0,,,50.0,33,11-04-2019 20:38
89,1,144,1,recognition,2,sansforgetica,True,Letter designer,True,sansforgetica,0.8125,4001.8125,8.236558552338293,3900.375,4103.25,8.186047109981475,8.287069994695113,0.90625,0.8125,1.0,50.0,33,11-04-2019 20:38
90,1,144,2,lexical,1,sansforgetica,True,Letter designer,True,arial,1.0,2408.15,7.727495067895054,2058.3,2758.0,7.571744028888846,7.883246106901264,1.0,,,100.0,47,11-04-2019 20:38
91,1,144,2,recognition,2,sansforgetica,True,Letter designer,True,arial,0.75,2908.375,7.8521034252660495,3172.875,2643.875,7.848391797972903,7.8558150525591985,0.90625,0.9375,0.875,100.0,47,11-04-2019 20:38
92,1,145,1,lexical,1,arial,True,Non-designer,False,arial,0.85,2658.05,7.764009925196804,1781.2,3534.9,7.465349069360831,8.062670781032782,1.0,,,50.0,71,11-04-2019 20:35
93,1,145,1,recognition,2,arial,True,Non-designer,False,arial,1.0,2740.75,7.853743823924865,2969.0,2512.5,7.897170843061554,7.810316804788174,1.0,1.0,1.0,50.0,71,11-04-2019 20:35
94,1,145,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,3409.75,8.006802062905141,2196.8,4622.7,7.608972954582901,8.40463117122738,1.0,,,50.0,76,11-04-2019 20:35
95,1,145,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.8125,2598.0,7.797158839855421,2356.375,2839.625,7.664243021705194,7.930074658005649,0.875,0.875,0.875,50.0,76,11-04-2019 20:35
96,1,146,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2927.55,7.879963966893722,2760.8,3094.3,7.769975284812557,7.989952648974888,1.0,,,75.0,85,11-04-2019 20:21
97,1,146,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2608.875,7.819481119474445,2330.125,2887.625,7.7343682385162715,7.904594000432618,1.0,1.0,1.0,75.0,85,11-04-2019 20:21
98,1,146,2,lexical,1,sansforgetica,True,Non-designer,False,arial,0.95,1960.15,7.51436227033836,1844.7,2075.6,7.4675303059493015,7.561194234727421,0.95,,,100.0,81,11-04-2019 20:21
99,1,146,2,recognition,2,sansforgetica,True,Non-designer,False,arial,0.875,2148.3125,7.651671063957607,2156.875,2139.75,7.6525475298371175,7.650794598078096,0.9375,1.0,0.875,100.0,81,11-04-2019 20:21
100,1,147,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2632.85,7.79154985239129,2110.5,3155.2,7.577669704538718,8.005430000243859,1.0,,,25.0,50,11-04-2019 20:03
101,1,147,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,0.8125,3169.3125,7.803641116871581,2073.625,4265.0,7.549523676696471,8.057758557046691,0.828125,0.6875,1.0,25.0,50,11-04-2019 20:03
102,1,147,2,lexical,1,sansforgetica,True,Non-designer,False,arial,0.95,2143.4,7.50256755198132,2024.0,2262.8,7.361406583855997,7.643728520106639,0.9500000000000001,,,100.0,50,11-04-2019 20:03
103,1,147,2,recognition,2,sansforgetica,True,Non-designer,False,arial,0.875,2378.9375,7.724002403755576,2807.5,1950.375,7.890630442674394,7.5573743648367575,0.875,1.0,0.75,100.0,50,11-04-2019 20:03
104,1,148,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,0.95,4026.1,8.20944071679549,2912.0,5140.2,7.90133650694987,8.517544926641111,1.0,,,50.0,23,11-04-2019 19:54
