,StudyID,ParticipantID,TestID,Type,TaskID,Order,Ordertype,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date,AUCnorm,Correctnorm,AUCnorm_word,AUCnorm_nonword
75,1,18,2,recognition,4,2.0,,arial,True,Non-designer,False,sansforgetica,0.8125,2759.4765625,7.879405846022862,,3071.375,,8.029880623047864,0.8671875,0.84375,0.875,75.0,39,12-04-2019 00:06,2.3955417299803723,2.245927859731928,2.3288370922211326,2.4188584057763776
76,1,19,1,lexical,1,1.0,,sansforgetica,True,Letter designer,True,sansforgetica,0.95,3021.9,7.912661819516697,,,,,1.0,,,75.0,78,11-04-2019 23:49,3.141592653589793,2.6905658417935303,,
77,1,19,1,recognition,2,2.0,,sansforgetica,True,Letter designer,True,sansforgetica,0.9375,2190.134765625,7.656387122284543,,2106.125,,7.652605045158549,1.0,1.0,1.0,75.0,78,11-04-2019 23:49,3.141592653589793,2.6362321433056364,3.141592653589793,3.141592653589793
78,1,19,2,lexical,3,1.0,,sansforgetica,True,Letter designer,True,arial,0.6,2257.3112499999997,7.655132708679986,,,,,1.0,,,50.0,70,11-04-2019 23:49,3.141592653589793,1.7721542475852274,,
79,1,19,2,recognition,4,2.0,,sansforgetica,True,Letter designer,True,arial,0.6875,2409.322265625,7.6946080108934245,,2413.26953125,,7.788737759034832,0.8046875,0.65625,1.0,50.0,70,11-04-2019 23:49,2.2260684152958388,1.9551931012905357,1.8886200307227774,3.141592653589793
80,1,20,1,lexical,1,1.0,,arial,True,Non-designer,False,arial,1.0,2032.7,7.602617278087839,,,,,1.0,,,100.0,80,11-04-2019 22:04,3.141592653589793,3.141592653589793,,
81,1,20,1,recognition,2,2.0,,arial,True,Non-designer,False,arial,0.9375,2358.0625,7.707801436218549,,2246.125,,7.716961788246618,0.9375,1.0,0.875,100.0,80,11-04-2019 22:04,2.6362321433056364,2.6362321433056364,3.141592653589793,2.4188584057763776
82,1,20,2,lexical,3,1.0,,arial,True,Non-designer,False,sansforgetica,1.0,2153.9474999999998,7.6558890909822255,,,,,1.0,,,25.0,73,11-04-2019 22:04,3.141592653589793,3.141592653589793,,
83,1,20,2,recognition,4,2.0,,arial,True,Non-designer,False,sansforgetica,0.9375,2707.1875,7.83575746911483,,2729.375,,7.911827924239826,1.0,1.0,1.0,25.0,73,11-04-2019 22:04,3.141592653589793,2.6362321433056364,3.141592653589793,3.141592653589793
84,1,21,1,lexical,1,1.0,,arial,True,Non-designer,False,arial,0.9,2508.55,7.685006426338252,,,,,1.0,,,100.0,50,11-04-2019 21:36,3.141592653589793,2.498091544796509,,
85,1,21,1,recognition,2,2.0,,arial,True,Non-designer,False,arial,0.4375,4151.2109375,8.290411926996349,,4569.296875,,8.427114615377137,0.4609375,0.5,0.46875,100.0,50,11-04-2019 21:36,1.4925916348601422,1.4454684956268313,1.5707963267948968,1.5082555649984053
86,1,21,2,lexical,3,1.0,,arial,True,Non-designer,False,sansforgetica,0.9,3895.1,8.217357752895367,,,,,0.95,,,75.0,50,11-04-2019 21:36,2.6905658417935303,2.498091544796509,,
87,1,21,2,recognition,4,2.0,,arial,True,Non-designer,False,sansforgetica,0.875,3758.75,8.199555253928692,,4108.5,,8.320813277371242,1.0,1.0,1.0,75.0,50,11-04-2019 21:36,3.141592653589793,2.4188584057763776,3.141592653589793,3.141592653589793
88,1,22,1,lexical,1,1.0,,sansforgetica,True,Letter designer,True,sansforgetica,0.95,2489.0,7.746275922001908,,,,,1.0,,,50.0,33,11-04-2019 20:38,3.141592653589793,2.6905658417935303,,
89,1,22,1,recognition,2,2.0,,sansforgetica,True,Letter designer,True,sansforgetica,0.8125,4001.8125,8.236558552338293,,4103.25,,8.319534621612044,0.90625,0.8125,1.0,50.0,33,11-04-2019 20:38,2.519224165034773,2.245927859731928,2.245927859731928,3.141592653589793
90,1,22,2,lexical,3,1.0,,sansforgetica,True,Letter designer,True,arial,1.0,2284.2287499999998,7.6925338648514465,,,,,1.0,,,100.0,47,11-04-2019 20:38,3.141592653589793,3.141592653589793,,
91,1,22,2,recognition,4,2.0,,sansforgetica,True,Letter designer,True,arial,0.75,2616.943359375,7.798713786079947,,2643.875,,7.880000923000739,0.90625,0.9375,0.875,100.0,47,11-04-2019 20:38,2.519224165034773,2.0943951023931953,2.6362321433056364,2.4188584057763776
92,1,23,1,lexical,1,1.0,,arial,True,Non-designer,False,arial,0.85,2658.05,7.764009925196804,,,,,1.0,,,50.0,71,11-04-2019 20:35,3.141592653589793,2.34619382340565,,
93,1,23,1,recognition,2,2.0,,arial,True,Non-designer,False,arial,1.0,2524.3359375,7.801764036525117,,2512.5,,7.829033552367331,1.0,1.0,1.0,50.0,71,11-04-2019 20:35,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
94,1,23,2,lexical,3,1.0,,arial,True,Non-designer,False,sansforgetica,1.0,3409.75,8.006802062905141,,,,,1.0,,,50.0,76,11-04-2019 20:35,3.141592653589793,3.141592653589793,,
95,1,23,2,recognition,4,2.0,,arial,True,Non-designer,False,sansforgetica,0.8125,2438.3984375,7.755207115677886,,2839.625,,7.951427280183385,0.875,0.875,0.875,50.0,76,11-04-2019 20:35,2.4188584057763776,2.245927859731928,2.4188584057763776,2.4188584057763776
96,1,24,1,lexical,1,1.0,,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2717.5924999999997,7.829964516691087,,,,,1.0,,,75.0,85,11-04-2019 20:21,3.141592653589793,3.141592653589793,,
97,1,24,1,recognition,2,2.0,,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2325.32421875,7.736744948108086,,2320.5234375,,7.749548058824147,1.0,1.0,1.0,75.0,85,11-04-2019 20:21,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
98,1,24,2,lexical,3,1.0,,sansforgetica,True,Non-designer,False,arial,0.95,1960.15,7.514362270338363,,,,,0.95,,,100.0,81,11-04-2019 20:21,2.6905658417935303,2.6905658417935303,,
99,1,24,2,recognition,4,2.0,,sansforgetica,True,Non-designer,False,arial,0.875,2148.3125,7.651671063957607,,2139.75,,7.668444278761719,0.9375,1.0,0.875,100.0,81,11-04-2019 20:21,2.6362321433056364,2.4188584057763776,3.141592653589793,2.4188584057763776
100,1,25,1,lexical,1,1.0,,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2632.85,7.79154985239129,,,,,1.0,,,25.0,50,11-04-2019 20:03,3.141592653589793,3.141592653589793,,
101,1,25,1,recognition,2,2.0,,sansforgetica,True,Non-designer,False,sansforgetica,0.8125,2390.2578125,7.697170957549896,,2706.890625,,7.903555884291183,0.828125,0.6875,1.0,25.0,50,11-04-2019 20:03,2.286634387020008,2.245927859731928,1.9551931012905357,3.141592653589793
102,1,25,2,lexical,3,1.0,,sansforgetica,True,Non-designer,False,arial,0.95,1953.90625,7.455043249217452,,,,,0.9500000000000001,,,100.0,50,11-04-2019 20:03,2.690565841793531,2.6905658417935303,,
103,1,25,2,recognition,4,2.0,,sansforgetica,True,Non-designer,False,arial,0.875,2378.9375,7.724002403755576,,1950.375,,7.5757769407613464,0.875,1.0,0.75,100.0,50,11-04-2019 20:03,2.4188584057763776,2.4188584057763776,3.141592653589793,2.0943951023931953
104,1,26,1,lexical,1,1.0,,sansforgetica,True,Non-designer,False,sansforgetica,0.95,4026.1,8.209440716795491,,,,,1.0,,,50.0,23,11-04-2019 19:54,3.141592653589793,2.6905658417935303,,
105,1,26,1,recognition,2,2.0,,sansforgetica,True,Non-designer,False,sansforgetica,0.9375,2827.138671875,7.916218731401931,,2919.77734375,,7.979262640214574,0.9140625,1.0,0.84375,50.0,23,11-04-2019 19:54,2.5465507307622497,2.6362321433056364,3.141592653589793,2.3288370922211326
106,1,26,2,lexical,3,1.0,,sansforgetica,True,Non-designer,False,arial,0.95,3032.75,7.924164268467128,,,,,0.945,,,100.0,26,11-04-2019 19:54,2.668141496317727,2.6905658417935303,,
107,1,26,2,recognition,4,2.0,,sansforgetica,True,Non-designer,False,arial,0.8125,2801.263671875,7.88256274742411,,3574.40234375,,8.18155326457912,0.796875,0.96875,0.625,100.0,26,11-04-2019 19:54,2.206507612196199,2.245927859731928,2.7861714518995697,1.8234765819369754
