,ParticipantID,Type,TestID,TrialID,StudyID,Fluent,Training,Font,Sample,Category,Response,Correct,Seen,Foil,RT,RTnorm,JoM,JoL,Date
88,1,lexical,1,17,2,True,Letter designer,arial,arrinst,non-word,Sure non-word,1.0,,,4687.0,8.452547997922705,80,very easy to read,30-05-2019 13:02
89,1,lexical,1,18,2,True,Letter designer,arial,leaves,word,Sure word,1.0,,,2078.0,7.639161171659173,80,very easy to read,30-05-2019 13:02
90,1,lexical,1,19,2,True,Letter designer,arial,exampses,non-word,Probably non-word,1.0,,,3545.0,8.173293438966228,80,very easy to read,30-05-2019 13:02
91,1,lexical,1,20,2,True,Letter designer,arial,explained,word,Sure word,1.0,,,1462.0,7.2875606403097235,80,very easy to read,30-05-2019 13:02
92,1,recognition,1,1,2,True,Letter designer,sansforgetica,cases,word,Probably seen,0.0,not seen,carrying,2349.03125,7.76175828810384,80,very easy to read,30-05-2019 13:02
93,1,recognition,1,2,2,True,Letter designer,sansforgetica,heaticipary,non-word,Sure seen,1.0,seen,heaticipary,2246.0,7.716906135298388,80,very easy to read,30-05-2019 13:02
94,1,recognition,1,3,2,True,Letter designer,sansforgetica,morricit,non-word,Probably seen,0.0,not seen,morking,5071.0,8.531293315795017,80,very easy to read,30-05-2019 13:02
95,1,recognition,1,4,2,True,Letter designer,sansforgetica,anything,word,Sure not seen,1.0,not seen,anyone,2048.0,7.6246189861593985,80,very easy to read,30-05-2019 13:02
96,1,recognition,1,5,2,True,Letter designer,sansforgetica,blearate,non-word,Sure not seen,1.0,not seen,blace,1188.0,7.080026499922591,80,very easy to read,30-05-2019 13:02
97,1,recognition,1,6,2,True,Letter designer,sansforgetica,today,word,Sure seen,1.0,seen,today,1527.0,7.331060305218632,80,very easy to read,30-05-2019 13:02
98,1,recognition,1,7,2,True,Letter designer,sansforgetica,ordered,word,Sure seen,0.0,not seen,order,1128.0,7.0282014320580055,80,very easy to read,30-05-2019 13:02
99,1,recognition,1,8,2,True,Letter designer,sansforgetica,considere,non-word,Sure seen,1.0,seen,considere,1395.0,7.240649694255465,80,very easy to read,30-05-2019 13:02
100,1,recognition,1,9,2,True,Letter designer,sansforgetica,achieved,word,Sure seen,1.0,seen,achieved,1244.0,7.126087273299126,80,very easy to read,30-05-2019 13:02
