,StudyID,ParticipantID,TestID,Type,Order,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date,AUCnorm,Correctnorm,AUCnorm_word,AUCnorm_nonword
81,1,142,1,recognition,2,arial,True,Non-designer,False,arial,0.9375,2358.0625,7.707801436218549,2470.0,2246.125,7.8119734296220225,7.716961788246618,0.9375,1.0,0.875,100.0,80,11-04-2019 22:04,2.6362321433056364,2.6362321433056364,3.141592653589793,2.4188584057763776
82,1,142,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,2153.9474999999998,7.6558890909822255,1822.2,2485.695,7.507799841279758,7.818307577496519,1.0,,,25.0,73,11-04-2019 22:04,3.141592653589793,3.141592653589793,,
83,1,142,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.9375,2707.1875,7.83575746911483,2685.0,2729.375,7.895436006942965,7.911827924239826,1.0,1.0,1.0,25.0,73,11-04-2019 22:04,3.141592653589793,2.6362321433056364,3.141592653589793,3.141592653589793
84,1,143,1,lexical,1,arial,True,Non-designer,False,arial,0.9,2508.55,7.685006426338252,2116.0,2901.1,7.65728279297819,7.97284525439941,1.0,,,100.0,50,11-04-2019 21:36,3.141592653589793,2.498091544796509,,
85,1,143,1,recognition,2,arial,True,Non-designer,False,arial,0.4375,4151.2109375,8.290411926996349,3733.125,4569.296875,8.22500096348657,8.427114615377137,0.4609375,0.5,0.46875,100.0,50,11-04-2019 21:36,1.4925916348601422,1.4454684956268313,1.5707963267948968,1.5082555649984053
86,1,143,2,lexical,1,arial,True,Non-designer,False,sansforgetica,0.9,3895.1,8.217357752895367,3481.5,4308.7,8.155218514382602,8.368391513470156,0.95,,,75.0,50,11-04-2019 21:36,2.6905658417935303,2.498091544796509,,
87,1,143,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.875,3758.75,8.199555253928692,3409.0,4108.5,8.134174272137903,8.320813277371242,1.0,1.0,1.0,75.0,50,11-04-2019 21:36,3.141592653589793,2.4188584057763776,3.141592653589793,3.141592653589793
88,1,144,1,lexical,1,sansforgetica,True,Letter designer,True,sansforgetica,0.95,2489.0,7.746275922001908,1747.9,3230.1,7.466170346341041,8.080268375489782,1.0,,,50.0,33,11-04-2019 20:38,3.141592653589793,2.6905658417935303,,
89,1,144,1,recognition,2,sansforgetica,True,Letter designer,True,sansforgetica,0.8125,4001.8125,8.236558552338293,3900.375,4103.25,8.268827981341406,8.319534621612044,0.90625,0.8125,1.0,50.0,33,11-04-2019 20:38,2.519224165034773,2.245927859731928,2.245927859731928,3.141592653589793
90,1,144,2,lexical,1,sansforgetica,True,Letter designer,True,arial,1.0,2284.2287499999998,7.6925338648514465,2058.3,2510.1575000000003,7.629635678364955,7.828100779161177,1.0,,,100.0,47,11-04-2019 20:38,3.141592653589793,3.141592653589793,,
